EVENT,station,PHASE,timestamp,WEIGHT
0,VOJS,P,2023-06-01T07:39:12.940000Z,0
0,CADS,P,2023-06-01T07:39:16.760000Z,0
2,CAE,P,2023-06-01T09:27:58.710000Z,0
2,POLC,P,2023-06-01T09:27:59.230000Z,0
2,CAE,S,2023-06-01T09:27:59.360000Z,2
2,POLC,S,2023-06-01T09:28:00.770000Z,2
2,MLN,P,2023-06-01T09:28:02.560000Z,2
2,MLN,S,2023-06-01T09:29:03.500000Z,2
3,MLN,P,2023-06-01T09:53:31.780000Z,2
3,POLC,P,2023-06-01T09:53:32.040000Z,2
3,CIMO,P,2023-06-01T09:53:32.090000Z,2
3,CAE,P,2023-06-01T09:53:32.530000Z,2
3,MLN,S,2023-06-01T09:53:34.290000Z,2
3,CIMO,S,2023-06-01T09:53:35.530000Z,2
3,POLC,S,2023-06-01T09:53:35.700000Z,2
3,CAE,S,2023-06-01T09:53:36.360000Z,3
4,PANI,P,2023-06-01T10:02:08.430000Z,0
4,GAGG,P,2023-06-01T10:02:08.840000Z,0
4,LUSI,P,2023-06-01T10:02:10.410000Z,0
4,DOSS,P,2023-06-01T10:02:10.620000Z,0
4,OZOL,P,2023-06-01T10:02:11.290000Z,1
4,ZIAN,P,2023-06-01T10:02:11.410000Z,0
4,KOSI,P,2023-06-01T10:02:12.460000Z,0
4,VARA,P,2023-06-01T10:02:12.860000Z,3
4,CARE,P,2023-06-01T10:02:14.090000Z,0
5,PANI,P,2023-06-01T14:59:49.270000Z,0
5,GAGG,P,2023-06-01T14:59:49.830000Z,0
5,LUSI,P,2023-06-01T14:59:51.320000Z,0
5,DOSS,P,2023-06-01T14:59:51.480000Z,0
5,ZIAN,P,2023-06-01T14:59:52.320000Z,0
5,CTI,P,2023-06-01T14:59:52.970000Z,2
5,KOSI,P,2023-06-01T14:59:53.490000Z,0
5,CARE,P,2023-06-01T14:59:55.110000Z,0
6,PRED,P,2023-06-01T19:08:22.900000Z,0
6,ACOM,P,2023-06-01T19:08:23.040000Z,2
6,PTCC,P,2023-06-01T19:08:23.820000Z,0
6,PRED,S,2023-06-01T19:08:24.060000Z,1
6,ACOM,S,2023-06-01T19:08:24.670000Z,2
6,PTCC,S,2023-06-01T19:08:25.850000Z,0
6,ROBS,P,2023-06-01T19:08:25.870000Z,1
6,ROBS,S,2023-06-01T19:08:29.520000Z,2
7,CAE,P,2023-06-01T21:41:16.740000Z,0
7,POLC,P,2023-06-01T21:41:17.370000Z,0
7,VARN,P,2023-06-01T21:41:17.490000Z,0
7,CIMO,P,2023-06-01T21:41:18.550000Z,2
7,CAE,S,2023-06-01T21:41:19.090000Z,0
7,POLC,S,2023-06-01T21:41:20.320000Z,2
7,VARN,S,2023-06-01T21:41:20.450000Z,2
7,CIMO,S,2023-06-01T21:41:22.260000Z,3
8,GORS,P,2023-06-01T23:54:24.350000Z,0
8,VOJS,P,2023-06-01T23:54:27.270000Z,2
8,CADS,P,2023-06-01T23:54:27.650000Z,2
8,VOJS,S,2023-06-01T23:54:34.420000Z,2
9,LUSI,P,2023-06-02T02:18:27.140000Z,0
9,VARA,P,2023-06-02T02:18:27.430000Z,0
9,GAGG,P,2023-06-02T02:18:28.800000Z,0
9,MAGA,P,2023-06-02T02:18:28.880000Z,3
9,LUSI,S,2023-06-02T02:18:28.970000Z,1
9,BALD,P,2023-06-02T02:18:29.010000Z,2
9,DOSS,P,2023-06-02T02:18:29.010000Z,0
9,RONC,P,2023-06-02T02:18:29.060000Z,2
9,VARA,S,2023-06-02T02:18:29.510000Z,1
9,MABI,P,2023-06-02T02:18:30.400000Z,1
9,MARN,P,2023-06-02T02:18:31.290000Z,0
9,PANI,P,2023-06-02T02:18:31.310000Z,2
9,GAGG,S,2023-06-02T02:18:31.830000Z,2
9,DOSS,S,2023-06-02T02:18:32.080000Z,2
9,RONC,S,2023-06-02T02:18:32.300000Z,2
9,MAGA,S,2023-06-02T02:18:32.910000Z,2
9,BALD,S,2023-06-02T02:18:33.050000Z,2
9,MABI,S,2023-06-02T02:18:35.240000Z,2
9,MARN,S,2023-06-02T02:18:36.160000Z,2
9,PANI,S,2023-06-02T02:18:36.160000Z,2
10,SABO,P,2023-06-02T08:50:39.260000Z,2
10,VOJS,P,2023-06-02T08:50:42.590000Z,2
10,DRE,P,2023-06-02T08:50:42.740000Z,2
10,CADS,P,2023-06-02T08:50:44.010000Z,2
10,TRI,P,2023-06-02T08:50:44.010000Z,0
10,ROBS,P,2023-06-02T08:50:44.750000Z,2
10,BAD,P,2023-06-02T08:50:46.420000Z,2
10,GORS,P,2023-06-02T08:50:47.110000Z,2
11,VOJS,P,2023-06-02T09:06:50.380000Z,0
11,CADS,P,2023-06-02T09:06:53.900000Z,0
11,DRE,P,2023-06-02T09:06:54.510000Z,1
12,FUSE,P,2023-06-03T00:31:37.650000Z,0
12,BOO,P,2023-06-03T00:31:38.090000Z,0
12,CLUD,P,2023-06-03T00:31:38.750000Z,2
12,FUSE,S,2023-06-03T00:31:39.190000Z,2
12,PLRO,P,2023-06-03T00:31:39.730000Z,2
12,BOO,S,2023-06-03T00:31:39.990000Z,0
12,PURA,P,2023-06-03T00:31:40.030000Z,2
12,BAD,P,2023-06-03T00:31:40.050000Z,2
12,CLUD,S,2023-06-03T00:31:41.130000Z,2
12,PLRO,S,2023-06-03T00:31:42.710000Z,2
12,PURA,S,2023-06-03T00:31:43.430000Z,2
12,BAD,S,2023-06-03T00:31:43.560000Z,1
13,MAGA,P,2023-06-03T05:18:33.460000Z,0
13,BALD,P,2023-06-03T05:18:33.900000Z,0
13,MAGA,S,2023-06-03T05:18:35.770000Z,1
13,VARA,P,2023-06-03T05:18:36.010000Z,2
13,BALD,S,2023-06-03T05:18:36.390000Z,2
13,RONC,P,2023-06-03T05:18:37.320000Z,2
13,LUSI,P,2023-06-03T05:18:38.120000Z,1
13,MABI,P,2023-06-03T05:18:38.420000Z,3
13,MARN,P,2023-06-03T05:18:38.730000Z,2
13,DOSS,P,2023-06-03T05:18:39.310000Z,3
13,VARA,S,2023-06-03T05:18:39.980000Z,2
13,RONC,S,2023-06-03T05:18:42.070000Z,2
13,LUSI,S,2023-06-03T05:18:43.710000Z,2
13,MABI,S,2023-06-03T05:18:44.330000Z,3
13,MARN,S,2023-06-03T05:18:45.090000Z,3
14,CADS,P,2023-06-03T08:29:28.210000Z,2
14,CADS,S,2023-06-03T08:29:29.590000Z,2
14,GORS,P,2023-06-03T08:29:29.880000Z,2
14,DRE,P,2023-06-03T08:29:30.070000Z,2
14,ROBS,P,2023-06-03T08:29:31.380000Z,2
14,DRE,S,2023-06-03T08:29:32.100000Z,0
14,PRED,P,2023-06-03T08:29:32.220000Z,0
14,GORS,S,2023-06-03T08:29:32.760000Z,2
14,PTCC,P,2023-06-03T08:29:34.150000Z,2
14,ROBS,S,2023-06-03T08:29:34.630000Z,2
14,PRED,S,2023-06-03T08:29:36.470000Z,0
14,PTCC,S,2023-06-03T08:29:39.770000Z,0
15,MARN,P,2023-06-03T12:33:22.690000Z,0
15,DOSS,P,2023-06-03T12:33:22.910000Z,0
15,VARA,P,2023-06-03T12:33:23.350000Z,0
15,LUSI,P,2023-06-03T12:33:24.530000Z,2
15,MARN,S,2023-06-03T12:33:24.900000Z,2
15,DOSS,S,2023-06-03T12:33:25.210000Z,1
15,VARA,S,2023-06-03T12:33:25.980000Z,0
15,MAGA,P,2023-06-03T12:33:26.140000Z,2
15,PANI,P,2023-06-03T12:33:26.270000Z,2
15,GAGG,P,2023-06-03T12:33:26.480000Z,0
15,LUSI,S,2023-06-03T12:33:27.990000Z,2
15,PANI,S,2023-06-03T12:33:30.870000Z,4
15,MAGA,S,2023-06-03T12:33:31.130000Z,2
15,GAGG,S,2023-06-03T12:33:31.580000Z,3
16,BOO,P,2023-06-03T16:54:15.310000Z,2
16,FUSE,P,2023-06-03T16:54:15.390000Z,0
16,PTCC,P,2023-06-03T16:54:16.420000Z,0
16,PLRO,P,2023-06-03T16:54:16.640000Z,1
16,VINO,P,2023-06-03T16:54:16.660000Z,2
16,BAD,P,2023-06-03T16:54:16.760000Z,2
16,CLUD,P,2023-06-03T16:54:16.790000Z,2
16,BOO,S,2023-06-03T16:54:17.250000Z,2
16,FUSE,S,2023-06-03T16:54:17.630000Z,2
16,PTCC,S,2023-06-03T16:54:19.510000Z,2
16,PLRO,S,2023-06-03T16:54:19.540000Z,2
16,CLUD,S,2023-06-03T16:54:19.600000Z,2
16,VINO,S,2023-06-03T16:54:19.900000Z,2
16,BAD,S,2023-06-03T16:54:19.950000Z,2
17,SABO,P,2023-06-03T21:13:48.550000Z,0
17,DRE,P,2023-06-03T21:13:48.710000Z,0
17,CADS,P,2023-06-03T21:13:49.570000Z,0
17,VOJS,P,2023-06-03T21:13:49.620000Z,0
17,ROBS,P,2023-06-03T21:13:50.000000Z,2
17,SABO,S,2023-06-03T21:13:50.670000Z,2
17,DRE,S,2023-06-03T21:13:50.970000Z,2
17,GORS,P,2023-06-03T21:13:52.450000Z,1
17,VOJS,S,2023-06-03T21:13:52.500000Z,2
17,CADS,S,2023-06-03T21:13:52.690000Z,2
17,ROBS,S,2023-06-03T21:13:53.460000Z,2
18,CIMO,P,2023-06-03T21:45:30.990000Z,2
18,PURA,P,2023-06-03T21:45:31.800000Z,2
18,ABTA,P,2023-06-03T21:45:32.260000Z,2
18,FVI,P,2023-06-03T21:45:32.520000Z,2
18,STAL,P,2023-06-03T21:45:33.260000Z,3
18,CIMO,S,2023-06-03T21:45:34.180000Z,2
18,PURA,S,2023-06-03T21:45:35.660000Z,2
18,ABTA,S,2023-06-03T21:45:36.030000Z,2
18,FVI,S,2023-06-03T21:45:36.420000Z,2
18,STAL,S,2023-06-03T21:45:38.240000Z,2
19,ROBS,P,2023-06-04T00:03:04.690000Z,0
19,VINO,P,2023-06-04T00:03:05.270000Z,0
19,BAD,P,2023-06-04T00:03:05.450000Z,0
19,DRE,P,2023-06-04T00:03:05.560000Z,0
19,CADS,P,2023-06-04T00:03:06.450000Z,0
19,PRED,P,2023-06-04T00:03:07.220000Z,2
19,VOJS,P,2023-06-04T00:03:08.680000Z,2
19,ACOM,P,2023-06-04T00:03:09.150000Z,2
19,CADS,S,2023-06-04T00:03:10.030000Z,2
19,PRED,S,2023-06-04T00:03:11.610000Z,2
19,VOJS,S,2023-06-04T00:03:14.510000Z,0
19,ACOM,S,2023-06-04T00:03:14.520000Z,2
19,ROBS,S,2023-06-04T00:04:08.400000Z,2
19,VINO,S,2023-06-04T00:04:19.700000Z,1
19,BAD,S,2023-06-04T00:04:23.400000Z,2
19,DRE,S,2023-06-04T00:04:25.700000Z,0
20,SABO,P,2023-06-04T00:25:07.680000Z,0
20,TRI,P,2023-06-04T00:25:09.150000Z,3
20,DRE,P,2023-06-04T00:25:10.150000Z,0
20,ROBS,P,2023-06-04T00:25:10.620000Z,1
20,BAD,P,2023-06-04T00:25:10.760000Z,1
20,VOJS,P,2023-06-04T00:25:10.770000Z,1
20,DST2,P,2023-06-04T00:25:10.780000Z,2
20,SABO,S,2023-06-04T00:25:10.940000Z,2
20,VINO,P,2023-06-04T00:25:11.000000Z,2
20,CADS,P,2023-06-04T00:25:11.530000Z,1
20,GEPF,P,2023-06-04T00:25:11.940000Z,2
20,BOO,P,2023-06-04T00:25:12.770000Z,2
20,PTCC,P,2023-06-04T00:25:13.240000Z,2
20,TRI,S,2023-06-04T00:25:14.520000Z,3
20,GORS,P,2023-06-04T00:25:14.640000Z,2
20,DRE,S,2023-06-04T00:25:15.290000Z,2
20,ROBS,S,2023-06-04T00:25:16.290000Z,1
20,DST2,S,2023-06-04T00:25:16.320000Z,3
20,BAD,S,2023-06-04T00:25:16.420000Z,2
20,VOJS,S,2023-06-04T00:25:16.500000Z,2
20,VINO,S,2023-06-04T00:25:16.690000Z,2
20,CADS,S,2023-06-04T00:25:17.910000Z,2
20,GEPF,S,2023-06-04T00:25:18.560000Z,2
20,BOO,S,2023-06-04T00:25:20.210000Z,2
20,PTCC,S,2023-06-04T00:25:21.150000Z,3
20,GORS,S,2023-06-04T00:25:23.790000Z,3
21,MOSI,P,2023-06-04T02:28:46.420000Z,2
21,FETA,P,2023-06-04T02:28:48.440000Z,2
21,MOSI,S,2023-06-04T02:28:50.540000Z,2
21,FETA,S,2023-06-04T02:28:53.830000Z,2
22,PURA,P,2023-06-04T03:09:43.890000Z,0
22,STAL,P,2023-06-04T03:09:44.280000Z,0
22,CLUD,P,2023-06-04T03:09:44.740000Z,0
22,PURA,S,2023-06-04T03:09:45.380000Z,0
22,FUSE,P,2023-06-04T03:09:45.560000Z,2
22,STAL,S,2023-06-04T03:09:46.040000Z,1
22,BOO,P,2023-06-04T03:09:46.300000Z,2
22,CIMO,P,2023-06-04T03:09:46.690000Z,1
22,CLUD,S,2023-06-04T03:09:46.870000Z,0
22,MLN,P,2023-06-04T03:09:47.040000Z,2
22,FUSE,S,2023-06-04T03:09:48.180000Z,2
22,BOO,S,2023-06-04T03:09:49.960000Z,2
22,MLN,S,2023-06-04T03:09:50.090000Z,3
22,CIMO,S,2023-06-04T03:09:50.140000Z,3
23,CTI,P,2023-06-04T17:57:06.780000Z,2
23,VARN,P,2023-06-04T17:57:06.980000Z,2
23,AGOR,P,2023-06-04T17:57:09.030000Z,2
23,ZIAN,P,2023-06-04T17:57:10.100000Z,2
23,PANI,P,2023-06-04T17:57:10.980000Z,2
23,CAE,P,2023-06-04T17:57:11.390000Z,3
23,DOSS,P,2023-06-04T17:57:13.220000Z,2
23,AGOR,S,2023-06-04T17:57:13.260000Z,2
23,KOSI,P,2023-06-04T17:57:14.410000Z,2
23,ZIAN,S,2023-06-04T17:57:14.810000Z,3
23,LUSI,P,2023-06-04T17:57:16.080000Z,2
23,PANI,S,2023-06-04T17:57:16.260000Z,2
23,CAE,S,2023-06-04T17:57:17.250000Z,2
23,DOSS,S,2023-06-04T17:57:20.400000Z,3
23,CTI,S,2023-06-04T17:58:31.700000Z,0
23,VARN,S,2023-06-04T17:58:36.900000Z,2
24,BOO,P,2023-06-05T08:28:03.340000Z,0
24,GEPF,P,2023-06-05T08:28:03.700000Z,2
24,FUSE,P,2023-06-05T08:28:04.900000Z,1
24,BAD,P,2023-06-05T08:28:04.970000Z,0
24,VINO,P,2023-06-05T08:28:05.220000Z,2
24,CLUD,P,2023-06-05T08:28:06.500000Z,2
24,BOO,S,2023-06-05T08:28:40.500000Z,0
24,GEPF,S,2023-06-05T08:28:47.100000Z,2
24,FUSE,S,2023-06-05T08:29:09.500000Z,2
24,BAD,S,2023-06-05T08:29:10.700000Z,0
24,VINO,S,2023-06-05T08:29:17.600000Z,2
24,CLUD,S,2023-06-05T08:29:38.200000Z,0
25,LUSI,P,2023-06-05T10:03:31.500000Z,0
25,VARA,P,2023-06-05T10:03:31.780000Z,0
25,GAGG,P,2023-06-05T10:03:33.150000Z,0
25,LUSI,S,2023-06-05T10:03:33.360000Z,0
25,DOSS,P,2023-06-05T10:03:33.390000Z,0
25,VARA,S,2023-06-05T10:03:33.710000Z,0
25,MAGA,P,2023-06-05T10:03:33.870000Z,1
25,MABI,P,2023-06-05T10:03:35.060000Z,2
25,PANI,P,2023-06-05T10:03:35.630000Z,0
25,GAGG,S,2023-06-05T10:03:36.230000Z,2
25,DOSS,S,2023-06-05T10:03:36.590000Z,3
25,MAGA,S,2023-06-05T10:03:37.480000Z,2
25,MABI,S,2023-06-05T10:03:39.700000Z,2
25,PANI,S,2023-06-05T10:03:40.890000Z,3
26,GORS,P,2023-06-05T15:36:24.760000Z,2
26,VOJS,P,2023-06-05T15:36:27.140000Z,2
26,GORS,S,2023-06-05T15:36:28.800000Z,2
26,VOJS,S,2023-06-05T15:36:33.530000Z,3
27,MLN,P,2023-06-05T18:20:45.410000Z,0
27,STAL,P,2023-06-05T18:20:46.210000Z,0
27,MLN,S,2023-06-05T18:20:47.010000Z,0
27,CIMO,P,2023-06-05T18:20:47.220000Z,0
27,CAE,P,2023-06-05T18:20:47.890000Z,2
27,STAL,S,2023-06-05T18:20:48.350000Z,0
27,PURA,P,2023-06-05T18:20:48.610000Z,2
27,CIMO,S,2023-06-05T18:20:50.230000Z,2
27,CAE,S,2023-06-05T18:20:51.150000Z,3
27,PURA,S,2023-06-05T18:20:52.790000Z,0
28,MLN,P,2023-06-05T21:00:01.260000Z,0
28,STAL,P,2023-06-05T21:00:02.060000Z,1
28,CIMO,P,2023-06-05T21:00:03.050000Z,2
28,POLC,P,2023-06-05T21:00:03.090000Z,0
28,CAE,P,2023-06-05T21:00:03.510000Z,2
28,PURA,P,2023-06-05T21:00:04.460000Z,0
28,CLUD,P,2023-06-05T21:00:05.850000Z,3
28,BOO,P,2023-06-05T21:00:06.700000Z,3
28,GEPF,P,2023-06-05T21:00:06.920000Z,3
28,VARN,P,2023-06-05T21:00:07.060000Z,3
28,FVI,P,2023-06-05T21:00:07.780000Z,3
28,PLRO,P,2023-06-05T21:00:09.730000Z,3
28,ABTA,P,2023-06-05T21:00:09.810000Z,4
28,PTCC,P,2023-06-05T21:00:10.400000Z,3
28,CLUD,S,2023-06-05T21:00:11.410000Z,3
28,BOO,S,2023-06-05T21:00:12.270000Z,3
28,CTI,P,2023-06-05T21:00:12.790000Z,3
28,GEPF,S,2023-06-05T21:00:12.940000Z,3
28,VARN,S,2023-06-05T21:00:13.160000Z,3
28,ACOM,P,2023-06-05T21:00:13.770000Z,3
28,ZIAN,P,2023-06-05T21:00:13.770000Z,3
28,FVI,S,2023-06-05T21:00:14.390000Z,3
28,PANI,P,2023-06-05T21:00:16.790000Z,3
28,PLRO,S,2023-06-05T21:00:17.470000Z,2
28,ABTA,S,2023-06-05T21:00:18.740000Z,3
28,PTCC,S,2023-06-05T21:00:18.850000Z,2
28,CTI,S,2023-06-05T21:00:22.600000Z,3
28,ACOM,S,2023-06-05T21:00:24.080000Z,3
28,MLN,S,2023-06-05T21:00:27.800000Z,1
28,PANI,S,2023-06-05T21:00:29.360000Z,3
28,STAL,S,2023-06-05T21:00:43.500000Z,2
28,POLC,S,2023-06-05T21:00:58.300000Z,2
28,CIMO,S,2023-06-05T21:01:01.500000Z,2
28,CAE,S,2023-06-05T21:01:11.700000Z,3
28,PURA,S,2023-06-05T21:01:28.000000Z,2
29,FUSE,P,2023-06-06T00:55:22.910000Z,0
29,BOO,P,2023-06-06T00:55:22.990000Z,2
29,CLUD,P,2023-06-06T00:55:24.120000Z,2
29,FUSE,S,2023-06-06T00:55:24.440000Z,2
29,PLRO,P,2023-06-06T00:55:24.550000Z,2
29,BOO,S,2023-06-06T00:55:24.770000Z,2
29,BAD,P,2023-06-06T00:55:24.790000Z,2
29,PTCC,P,2023-06-06T00:55:24.820000Z,1
29,VINO,P,2023-06-06T00:55:24.870000Z,2
29,PURA,P,2023-06-06T00:55:25.550000Z,2
29,CLUD,S,2023-06-06T00:55:26.730000Z,2
29,PLRO,S,2023-06-06T00:55:27.410000Z,0
29,BAD,S,2023-06-06T00:55:27.960000Z,0
29,VINO,S,2023-06-06T00:55:28.010000Z,2
29,PTCC,S,2023-06-06T00:55:28.020000Z,2
29,PURA,S,2023-06-06T00:55:29.450000Z,2
30,VINO,P,2023-06-06T07:42:07.830000Z,0
30,BAD,P,2023-06-06T07:42:08.250000Z,0
30,ROBS,P,2023-06-06T07:42:08.820000Z,2
30,PTCC,P,2023-06-06T07:42:09.180000Z,1
30,DRE,P,2023-06-06T07:42:10.690000Z,2
30,ROBS,S,2023-06-06T07:42:10.700000Z,2
30,PTCC,S,2023-06-06T07:42:11.430000Z,2
30,DRE,S,2023-06-06T07:42:14.350000Z,2
30,VINO,S,2023-06-06T07:43:30.700000Z,0
30,BAD,S,2023-06-06T07:43:39.000000Z,0
31,VOJS,P,2023-06-06T08:46:32.910000Z,0
32,SABO,P,2023-06-06T09:10:10.880000Z,0
32,VOJS,P,2023-06-06T09:10:12.130000Z,2
33,VOJS,P,2023-06-07T12:44:59.310000Z,2
33,VOJS,S,2023-06-07T12:45:04.330000Z,3
34,TRI,P,2023-06-08T09:25:50.890000Z,0
34,TRI,S,2023-06-08T09:25:53.560000Z,2
34,SABO,P,2023-06-08T09:25:55.280000Z,2
35,TRI,P,2023-06-08T09:40:31.760000Z,2
35,TRI,S,2023-06-08T09:40:34.720000Z,2
35,VOJS,P,2023-06-08T09:40:37.370000Z,2
35,VOJS,S,2023-06-08T09:40:44.700000Z,3
36,PANI,P,2023-06-08T15:15:23.580000Z,2
36,PANI,S,2023-06-08T15:15:25.570000Z,2
37,PANI,P,2023-06-08T15:19:16.630000Z,1
37,GAGG,P,2023-06-08T15:19:17.150000Z,0
37,LUSI,P,2023-06-08T15:19:18.660000Z,0
37,DOSS,P,2023-06-08T15:19:18.660000Z,1
37,KOSI,P,2023-06-08T15:19:20.880000Z,1
37,ABSI,P,2023-06-08T15:19:25.480000Z,1
38,PANI,P,2023-06-08T15:34:38.080000Z,0
38,GAGG,P,2023-06-08T15:34:38.500000Z,0
38,LUSI,P,2023-06-08T15:34:40.030000Z,1
38,DOSS,P,2023-06-08T15:34:40.290000Z,1
38,KOSI,P,2023-06-08T15:34:42.140000Z,0
38,MABI,P,2023-06-08T15:34:44.270000Z,0
38,ABSI,P,2023-06-08T15:34:46.740000Z,2
39,PANI,P,2023-06-08T16:01:56.630000Z,0
39,GAGG,P,2023-06-08T16:01:57.160000Z,1
39,LUSI,P,2023-06-08T16:01:58.660000Z,1
39,DOSS,P,2023-06-08T16:01:58.870000Z,0
39,OZOL,P,2023-06-08T16:01:59.060000Z,3
39,ZIAN,P,2023-06-08T16:01:59.580000Z,1
39,KOSI,P,2023-06-08T16:02:00.670000Z,1
39,MABI,P,2023-06-08T16:02:02.890000Z,2
39,MAGA,P,2023-06-08T16:02:04.490000Z,2
39,ABSI,P,2023-06-08T16:02:05.210000Z,2
40,PRED,P,2023-06-09T00:43:26.520000Z,2
40,PRED,S,2023-06-09T00:43:28.800000Z,2
40,ROBS,P,2023-06-09T00:43:28.910000Z,0
40,CADS,P,2023-06-09T00:43:29.160000Z,1
40,GORS,P,2023-06-09T00:43:29.690000Z,3
40,VINO,P,2023-06-09T00:43:31.510000Z,0
40,CADS,S,2023-06-09T00:43:32.360000Z,2
40,ROBS,S,2023-06-09T00:43:33.080000Z,2
40,GORS,S,2023-06-09T00:43:33.580000Z,2
40,VINO,S,2023-06-09T00:43:36.260000Z,1
41,DST2,P,2023-06-09T08:06:35.940000Z,2
41,TRI,P,2023-06-09T08:06:37.040000Z,2
42,VOJS,P,2023-06-09T10:10:10.360000Z,1
42,CADS,P,2023-06-09T10:10:14.020000Z,0
42,DRE,P,2023-06-09T10:10:14.370000Z,0
43,MAGA,P,2023-06-09T10:13:12.120000Z,2
43,MARN,P,2023-06-09T10:13:12.650000Z,2
43,VARA,P,2023-06-09T10:13:12.740000Z,3
43,DOSS,P,2023-06-09T10:13:15.030000Z,2
43,LUSI,P,2023-06-09T10:13:15.370000Z,2
43,MAGA,S,2023-06-09T10:13:16.880000Z,3
43,VARA,S,2023-06-09T10:13:17.080000Z,2
43,MARN,S,2023-06-09T10:13:17.090000Z,3
43,DOSS,S,2023-06-09T10:13:21.210000Z,2
43,LUSI,S,2023-06-09T10:13:21.800000Z,2
45,VOJS,P,2023-06-09T11:28:58.020000Z,0
45,DRE,P,2023-06-09T11:29:01.450000Z,2
45,VOJS,S,2023-06-09T11:29:01.950000Z,2
45,CADS,P,2023-06-09T11:29:01.950000Z,2
45,DRE,S,2023-06-09T11:30:17.200000Z,2
45,CADS,S,2023-06-09T11:30:25.000000Z,2
46,VINO,P,2023-06-09T11:33:43.220000Z,0
46,BAD,P,2023-06-09T11:33:43.710000Z,2
46,VINO,S,2023-06-09T11:33:44.530000Z,2
46,BAD,S,2023-06-09T11:33:45.370000Z,0
46,ROBS,P,2023-06-09T11:33:46.050000Z,0
47,SABO,P,2023-06-09T11:59:18.020000Z,0
47,DRE,P,2023-06-09T11:59:18.940000Z,0
47,VOJS,P,2023-06-09T11:59:20.100000Z,0
47,CADS,P,2023-06-09T11:59:20.470000Z,0
47,ROBS,P,2023-06-09T11:59:20.790000Z,0
47,BAD,P,2023-06-09T11:59:23.160000Z,1
47,VINO,P,2023-06-09T11:59:23.250000Z,2
47,GORS,P,2023-06-09T11:59:23.700000Z,0
47,PRED,P,2023-06-09T11:59:24.190000Z,0
48,CARE,P,2023-06-09T14:19:16.400000Z,1
48,OZOL,P,2023-06-09T14:19:16.760000Z,2
48,CARE,S,2023-06-09T14:19:18.320000Z,0
48,OZOL,S,2023-06-09T14:19:19.180000Z,2
48,GAGG,P,2023-06-09T14:19:19.310000Z,0
48,MOSI,P,2023-06-09T14:19:20.020000Z,0
48,KOSI,P,2023-06-09T14:19:20.990000Z,0
48,RONC,P,2023-06-09T14:19:21.500000Z,2
48,GAGG,S,2023-06-09T14:19:23.870000Z,2
